"Title","Subtitle","Author","Author (Last","Publisher","Date Published","Year Published","Summary","Number of Pages","ISBN","EAN","書封","分類"
"占星全書-增訂版","","魯道夫","","春光出版","2016/04/09","2016","","464","9789867848871","4-717702-093280","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=AsThaw5ggC%404717702093280.jpg","塔羅占星"
"雍正皇帝-恨水東逝(上)","","二月河","二月河","巴比倫出版社","","1994","","396","9789579238328","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=055wZbX61s%409789579238328-%E9%9B%8D%E6%AD%A3%E7%9A%87%E5%B8%9D-%E6%81%A8%E6%B0%B4%E6%9D%B1%E9%80%9D%EF%BC%88%E4%B8%8A%EF%BC%89.jpg",""
"雍正皇帝-九王奪嫡(下)","","二月河","二月河","巴比倫出版社","","1999","","362","9789579238274","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=N5o5U84rPN%409789579238274-%E9%9B%8D%E6%AD%A3%E7%9A%87%E5%B8%9D-%E4%B9%9D%E7%8E%8B%E5%A5%AA%E5%AB%A1%EF%BC%88%E4%B8%8B%EF%BC%89.jpg",""
"雍正皇帝-恨水東逝(下)","","二月河","二月河","巴比倫出版社","","1994","","364","9789579238335","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=hNP39781R6%409789579238335-%E9%9B%8D%E6%AD%A3%E7%9A%87%E5%B8%9D-%E6%81%A8%E6%B0%B4%E6%9D%B1%E9%80%9D%28%E4%B8%8B%29.jpg",""
"雍正皇帝-雕弓天狼(上)","","二月河","二月河","巴比倫出版社","","1999","","377","9789579238298","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=599Yg97Qb8%409789579238328-%E9%9B%8D%E6%AD%A3%E7%9A%87%E5%B8%9D-%E6%81%A8%E6%B0%B4%E6%9D%B1%E9%80%9D%EF%BC%88%E4%B8%8A%EF%BC%89.jpg",""
"雍正皇帝-九王奪嫡(上)","","二月河","二月河","巴比倫出版社","","1999","","362","9789579238267","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=drAZ7yuHK6%409789579238267-%E9%9B%8D%E6%AD%A3%E7%9A%87%E5%B8%9D%E2%94%80%E4%B9%9D%E7%8E%8B%E5%A5%AA%E5%AB%A1-%EF%BC%88%E4%B8%8A%EF%BC%89.jpg",""
"雍正皇帝-雕弓天狼(下)","","二月河","二月河","巴比倫出版社","","1999","","365","9789579238304","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=Mr1T311t29%409789579238304-%E9%9B%8D%E6%AD%A3%E7%9A%87%E5%B8%9D-%E9%9B%95%E5%BC%93%E5%A4%A9%E7%8B%BC%EF%BC%88%E4%B8%8B%EF%BC%89.jpg",""
"散戶流浪記","","羅斯查得,John Rothchild","羅斯查得","早安財經文化","","2009","","287","9789866613104","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=v24EFdot44%409789866613104-%E6%95%A3%E6%88%B6%E6%B5%81%E6%B5%AA%E8%A8%98.jpg","財經工具書"
"憤怒的葡萄","","John Steinbeck","Steinbeck, John","業強出版社","","1998","","244","9789576835131","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=RtLmJVK53l%409789576835131-%E6%86%A4%E6%80%92%E7%9A%84%E8%91%A1%E8%90%84.jpg",""
"最後14堂星期二的課（十年典藏版）","Tuesdays with Morrie","米奇．艾爾邦","米奇．艾爾邦","大塊文化","2006/10/01","2006","全臺70萬人，全世界1,100萬人購買這本書， 開啟熱淚中洗滌人生的閱讀之旅． 生命中最根本的震動！ ‧本書作者，米奇，曾經是老師眼中的希望。大學畢業後，他進入社會，載浮載沈，曾有的理想逐漸幻滅，人生的課題日益龐大難以面對。十六年後，他偶然與大學時代的恩師重逢，而這時他的老師只剩下最後幾個月可活。於是，他又上了十四堂他老師的課…… ‧米奇每個星期二到老師家探望他。這位老師，墨瑞‧史瓦茲(Morrie Schwartz)，面對著死亡一步步接近，誠實看見自己在死亡面前的恐懼與脆弱，承認自己對人世的眷戀不捨，但他掙脫這些情緒，展現出洞澈人生之後的清明與安靜，並且帶著幽默感。 ‧墨瑞不僅自己勇敢面對死亡，窮究死亡的多重意義，更藉著與學生米奇的談話，一點一點讓米奇因為世故而僵硬的心逐漸柔軟，讓他重新看待生命。 ‧作者在夢想褪色、視野變窄、情感變得僵硬的時刻，有機會聆聽昔日恩師的教誨。讀到這本書的人，也彷彿跟著旁聽了這堂叫做「什麼是人生」的課，汲取了其中的智慧與溫暖。這是個會發光發熱的故事，讀後會讓你一輩子難忘。 ‧中文版銷售超過六十萬冊，全球銷售超過一千萬冊。本次為大塊文化十週年新封面紀念版。","240","9789578468511","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=N0b537IFqS%409789578468511-%E6%9C%80%E5%BE%8C14%E5%A0%82%E6%98%9F%E6%9C%9F%E4%BA%8C%E7%9A%84%E8%AA%B2.jpg",""
"麥田捕手","","沙林傑","Salinger, Jerome David","桂冠","","1993","","326","9789575516963","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=LCyzna76KL%409789575516963-%E9%BA%A5%E7%94%B0%E6%8D%95%E6%89%8B.jpg",""
